po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,order_year,order_month,year_month,lead_time_days,original_spend,negotiated_spend,savings,savings_rate,defect_rate,is_delivered,is_partially_delivered,is_pending,is_cancelled,is_completed_delivery,is_compliant
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,,Yes,2023,10,2023-10,8.0,23672.879999999997,20944.559999999998,2728.3199999999997,0.11525086934923001,,0,0,0,1,0,1
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,2022,4,2022-04,10.0,59333.88,56346.060000000005,2987.8199999999924,0.05035605289928777,0.15573227302849568,1,0,0,0,1,1
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,2022,1,2022-01,20.0,86914.1,83956.6,2957.5,0.03402785048686001,0.045054945054945054,1,0,0,0,1,1
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,2022,10,2022-10,19.0,134198.4,128378.87999999999,5819.520000000004,0.04336504757135707,0.08333333333333333,1,0,0,0,1,1
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,2022,9,2022-09,12.0,75602.59999999999,71425.4,4177.199999999997,0.055252068050569654,0.14491525423728813,1,0,0,0,1,0
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,2022,8,2022-08,12.0,79245.45,72787.65,6457.800000000003,0.08149111400086696,0.03406113537117904,1,0,0,0,1,1
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,2022,5,2022-05,11.0,91130.37999999999,84832.68000000001,6297.6999999999825,0.06910648238271347,0.05411499436302142,1,0,0,0,1,0
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,2022,4,2022-04,14.0,40401.42,35861.32,4540.0999999999985,0.11237476306525856,0.02010968921389397,1,0,0,0,1,1
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,2023,11,2023-11,4.0,74153.84,67334.32,6819.5199999999895,0.09196448895970849,0.052725118483412325,0,1,0,0,1,1
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,2023,7,2023-07,12.0,13144.77,12004.2,1140.5699999999997,0.08676987121113566,0.04678362573099415,0,0,1,0,0,1
